Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,PacketClassification
0,192.168.1.93,52.111.242.6,TLSv1.2,83,69,49354,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.011431,52.111.242.6,192.168.1.93,TLSv1.2,79,65,443,49354,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.011537,192.168.1.93,52.111.242.6,TCP,54,40,49354,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
12.227874,192.168.1.93,151.101.62.133,TCP,54,40,49253,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
12.238331,151.101.62.133,192.168.1.93,TCP,66,52,443,49253,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
12.729082,192.168.1.93,74.125.133.188,TCP,54,40,49194,5228,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
12.746008,74.125.133.188,192.168.1.93,TCP,66,52,5228,49194,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
18.134117,192.168.1.93,34.120.115.102,TLSv1.2,105,91,49443,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
18.135062,192.168.1.93,34.117.237.239,TLSv1.2,105,91,49442,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
18.135062,192.168.1.93,34.117.237.239,TLSv1.2,90,76,49442,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
18.135063,192.168.1.93,34.117.237.239,TCP,66,52,49442,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
18.135063,192.168.1.93,34.120.115.102,TLSv1.2,90,76,49443,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
18.135064,192.168.1.93,34.120.115.102,TCP,66,52,49443,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
18.146214,34.117.237.239,192.168.1.93,TCP,66,52,443,49442,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
