Number,Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,,PacketClassification
1,0,192.168.1.93,86.189.110.34,TCP,54,40,49512,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,normal
2,0.000001,192.168.1.93,18.164.68.38,TCP,54,40,49507,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
3,0.008984,86.189.110.34,192.168.1.93,TCP,66,52,443,49512,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
4,0.010231,18.164.68.38,192.168.1.93,TCP,66,52,443,49507,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
5,0.501184,192.168.1.93,104.26.13.101,TCP,54,40,49508,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
6,0.511541,104.26.13.101,192.168.1.93,TCP,60,40,443,49508,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
7,1.002275,192.168.1.93,104.22.5.29,TCP,54,40,49511,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
8,1.002278,192.168.1.93,74.125.133.188,TCP,54,40,49194,5228,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
9,1.01986,104.22.5.29,192.168.1.93,TCP,54,40,443,49511,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
10,1.020299,74.125.133.188,192.168.1.93,TCP,66,52,5228,49194,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
11,3.084638,192.168.1.93,172.67.70.123,TCP,54,40,49519,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
12,3.084639,192.168.1.93,108.138.233.18,TCP,54,40,49518,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
13,3.096025,108.138.233.18,192.168.1.93,TCP,66,52,443,49518,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
14,3.096464,172.67.70.123,192.168.1.93,TCP,54,40,443,49519,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
15,6.773514,192.168.1.93,20.120.65.166,TCP,54,40,49516,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
16,6.773515,192.168.1.93,151.101.62.133,TCP,54,40,49450,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
17,6.773515,192.168.1.93,151.101.62.133,TCP,54,40,49449,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
18,6.787284,151.101.62.133,192.168.1.93,TCP,66,52,80,49449,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
19,6.787291,151.101.62.133,192.168.1.93,TCP,66,52,80,49450,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
20,6.859484,20.120.65.166,192.168.1.93,TCP,54,40,443,49516,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
21,8.151439,192.168.1.93,199.232.57.16,TCP,54,40,49463,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
22,8.163462,199.232.57.16,192.168.1.93,TCP,66,52,443,49463,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
23,8.652627,192.168.1.93,104.18.28.121,TCP,54,40,49466,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
24,8.667701,104.18.28.121,192.168.1.93,TCP,60,40,443,49466,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
25,9.513306,192.168.1.93,13.107.246.64,TCP,1494,1480,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
26,9.513307,192.168.1.93,13.107.246.64,TCP,1494,1480,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
27,9.513307,192.168.1.93,13.107.246.64,TCP,1494,1480,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
28,9.513308,192.168.1.93,13.107.246.64,TCP,1494,1480,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
29,9.513309,192.168.1.93,13.107.246.64,TLSv1.2,1090,1076,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
30,9.514242,192.168.1.93,13.107.246.64,TLSv1.2,100,86,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
31,9.514243,192.168.1.93,13.107.246.64,TLSv1.2,256,242,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
32,9.533053,13.107.246.64,192.168.1.93,TCP,54,40,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
33,9.533059,13.107.246.64,192.168.1.93,TCP,54,40,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
34,9.53306,13.107.246.64,192.168.1.93,TCP,54,40,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
35,9.533061,13.107.246.64,192.168.1.93,TCP,54,40,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
36,9.533552,13.107.246.64,192.168.1.93,TCP,54,40,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
37,9.533557,13.107.246.64,192.168.1.93,TCP,54,40,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
38,9.533559,13.107.246.64,192.168.1.93,TLSv1.2,100,86,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
39,9.533642,192.168.1.93,13.107.246.64,TCP,54,40,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
40,9.544266,13.107.246.64,192.168.1.93,TLSv1.2,225,211,443,49470,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
41,9.544336,192.168.1.93,13.107.246.64,TCP,54,40,49470,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
42,9.761103,192.168.1.93,151.101.62.133,TCP,54,40,49471,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
43,9.777127,151.101.62.133,192.168.1.93,TCP,66,52,443,49471,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
44,10.467173,192.168.1.93,104.110.244.196,TCP,54,40,49462,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
45,10.478245,104.110.244.196,192.168.1.93,TCP,66,52,443,49462,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
46,11.069469,192.168.1.93,104.110.244.196,TCP,54,40,49474,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,,
47,11.082446,104.110.244.196,192.168.1.93,TCP,66,52,443,49474,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,,
