Time,Source,Destination,Protocol,Length,TotalLength,SourcePort,DestinationPort,DestinationMacAddress,SourceMacAddress,PacketClassification
0,192.168.1.93,86.189.110.34,TCP,54,40,49512,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.000001,192.168.1.93,18.164.68.38,TCP,54,40,49507,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.008984,86.189.110.34,192.168.1.93,TCP,66,52,443,49512,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.010231,18.164.68.38,192.168.1.93,TCP,66,52,443,49507,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
0.501184,192.168.1.93,104.26.13.101,TCP,54,40,49508,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
0.511541,104.26.13.101,192.168.1.93,TCP,60,40,443,49508,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
1.002275,192.168.1.93,104.22.5.29,TCP,54,40,49511,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
1.002278,192.168.1.93,74.125.133.188,TCP,54,40,49194,5228,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
1.01986,104.22.5.29,192.168.1.93,TCP,54,40,443,49511,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
1.020299,74.125.133.188,192.168.1.93,TCP,66,52,5228,49194,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
3.084638,192.168.1.93,172.67.70.123,TCP,54,40,49519,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
3.084639,192.168.1.93,108.138.233.18,TCP,54,40,49518,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
3.096025,108.138.233.18,192.168.1.93,TCP,66,52,443,49518,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
3.096464,172.67.70.123,192.168.1.93,TCP,54,40,443,49519,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
6.773514,192.168.1.93,20.120.65.166,TCP,54,40,49516,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
6.773515,192.168.1.93,151.101.62.133,TCP,54,40,49450,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
6.773515,192.168.1.93,151.101.62.133,TCP,54,40,49449,80,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
6.787284,151.101.62.133,192.168.1.93,TCP,66,52,80,49449,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
6.787291,151.101.62.133,192.168.1.93,TCP,66,52,80,49450,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
6.859484,20.120.65.166,192.168.1.93,TCP,54,40,443,49516,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
8.151439,192.168.1.93,199.232.57.16,TCP,54,40,49463,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
8.163462,199.232.57.16,192.168.1.93,TCP,66,52,443,49463,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
8.652627,192.168.1.93,104.18.28.121,TCP,54,40,49466,443,78:65:59:a4:64:39,c4:b3:01:d8:fb:ff,normal
8.667701,104.18.28.121,192.168.1.93,TCP,60,40,443,49466,c4:b3:01:d8:fb:ff,78:65:59:a4:64:39,normal
